SKU,Short Description,Long Description,Model,Category Group,Category,Manufacturer,Manufacturer SKU,Image URL,Document Name,Document URL,Unit Of Measure,Buy Cost,Trade Price,MSRP GBP,MSRP USD,MSRP EUR,Discontinued
131,Warnex 0131 - Texture Paint black 1 kg Warnex,,,,,Adam Hall,4049521000119,,,,,,,53.38,,,
0131WHI,"Warnex 0131WHI - Texture Paint pure white semi-matt 1 kg, RAL 9010",,,,,Adam Hall,4049521159121,,,,,,,58.68,,,
132,"Adam Hall Hardware 0132 - Wood Dye, Black 5 L",,,,,Adam Hall,4049521000126,,,,,,,82.49,,,
133,"Adam Hall Hardware 0133 - Warnex water-based Wood Glaze in Black, 5 Liters",,,,,Adam Hall,4049521654121,,,,,,,98.9,,,
1357,Adam Hall Hardware 01357 - Black Wax Stick for Flightcase Repair Kit,,,,,Adam Hall,4049521132704,,,,,,,7.53,,,
0135KIT,Adam Hall Hardware 0135KIT - Repair Kit for Flightcase Surfaces black/grey/blue,,,,,Adam Hall,4049521132698,,,,,,,119.9,,,
150,Adam Hall Accessories 0150 - Stage Molton | B1 300 g/m² | 300 cm,,,,,Adam Hall,4049521000225,,,,,,,23.99,,,
1360,"Adam Hall Hardware 01360 - Spray Adhesive ""Classic"" 500 ml Can",,,,,Adam Hall,4049521000171,,,,,,,14.66,,,
1362,Adam Hall Hardware 01362 - Spray Adhesive 4 kg Container Wakol,,,,,Adam Hall,4004295173773,,,,,,,75.9,,,
013631L,Adam Hall Hardware 013631L - Solvent for 01362 Spray Adhesive 1 L Container Wakol,,,,,Adam Hall,4004295181556,,,,,,,21.2,,,
1366,"Adam Hall Hardware 01366 - Spray Adhesive Can, Extra Strong, 500 ml",,,,,Adam Hall,4049521605963,,,,,,,21.44,,,
1370,"Adam Hall Hardware 01370 - Industrial Spray Cleaner Citrus, 500 ml Can",,,,,Adam Hall,4049521605970,,,,,,,20.08,,,
0150EURO,Adam Hall Accessories 0150EURO - Eco Stage Molton | B1 320 g/m² | 300 cm,,,,,Adam Hall,4049521610660,,,,,,,20.14,,,
0150WH,"Adam Hall Accessories 0150WH - Stage Molton B1 White 300 cm Wide, White",,,,,Adam Hall,4049521211454,,,,,,,13.48,,,
0151B,Adam Hall Accessories 0151B - Deco Molton | B1 160 g/m² | 300 cm,,,,,Adam Hall,4049521173608,,,,,,,16.08,,,
0151WH,Adam Hall Accessories 0151WH - Deco Molton | B1 160 g/m² | 300 cm,,,,,Adam Hall,4049521211409,,,,,,,15.1,,,
0151X33,Adam Hall Accessories 0151X33 - Deco Molton | B1 160 g/m² | 3 x 3 m,,,,,Adam Hall,4049521211089,,,,,,,86.44,,,
0151X33WH,Adam Hall Accessories 0151X33WH - Deco Molton B1 with Burnished Grommets Hemmed 3 x 3 m White,,,,,Adam Hall,4049521211096,,,,,,,47.12,,,
0151X34,Adam Hall Accessories 0151X34 - Deco Molton | B1 160 g/m² | 3 x 4 m,,,,,Adam Hall,4049521211201,,,,,,,109.3,,,
0151X34WH,"Adam Hall Accessories 0151X34WH - Deco Molton B1 with Burnished Grommets Hemmed 3 x 4 m, White",,,,,Adam Hall,4049521211218,,,,,,,57.61,,,
0151X35,Adam Hall Accessories 0151X35 - Deco Molton | B1 160 g/m² | 3 x 5 m,,,,,Adam Hall,4049521211225,,,,,,,128.58,,,
0151X35WH,"Adam Hall Accessories 0151X35WH - Deco Molton B1 with Burnished Grommets Hemmed 3 x 5 m, White",,,,,Adam Hall,4049521211232,,,,,,,66.33,,,
0151X36,Adam Hall Accessories 0151X36 - Deco Molton | B1 160 g/m² | 3 x 6 m,,,,,Adam Hall,4049521211102,,,,,,,147.13,,,
0151X36WH,"Adam Hall Accessories 0151X36WH - Deco Molton B1 with Burnished Grommets Hemmed 3 x 6 m, White",,,,,Adam Hall,4049521211119,,,,,,,73.32,,,
0151X43,Adam Hall Accessories 0151X43 - Deco Molton | B1 160 g/m² | 4 x 3 m,,,,,Adam Hall,4049521211126,,,,,,,116.75,,,
0151X43WH,"Adam Hall Accessories 0151X43WH - Deco Cloth B1 with Burnished Grommets Hemmed 4 x 3 m, White",,,,,Adam Hall,4049521211133,,,,,,,62.85,,,
0151X53,Adam Hall Accessories 0151X53 - Deco Molton | B1 160 g/m² | 5 x 3 m,,,,,Adam Hall,4049521211140,,,,,,,151.3,,,
0151X53WH,"Adam Hall Accessories 0151X53WH - Deco Cloth B1 with Burnished Grommets Hemmed 5 x 3 m, White",,,,,Adam Hall,4049521211263,,,,,,,80.3,,,
0151X63,Adam Hall Accessories 0151X63 - Deco Molton | B1 160 g/m² | 6 x 3 m,,,,,Adam Hall,4049521211164,,,,,,,166.94,,,
0151X63WH,"Adam Hall Accessories 0151X63WH - Deco Cloth B1 with Burnished Grommets Hemmed 6 x 3 m, White",,,,,Adam Hall,4049521211171,,,,,,,94.28,,,
0151X64,Adam Hall Accessories 0151X64 - Deco Molton | B1 160 g/m² | 6 x 4 m,,,,,Adam Hall,4049521211188,,,,,,,227.62,,,
0151X64WH,"Adam Hall Accessories 0151X64WH - Deco Cloth B1 with Burnished Grommets Hemmed 6 x 4 m, White",,,,,Adam Hall,4049521211195,,,,,,,120.46,,,
0151X66,Adam Hall Accessories 0151X66 - Deco Molton | B1 160 g/m² | 6 x 6 m,,,,,Adam Hall,4049521211249,,,,,,,315.0,,,
0151X66WH,"Adam Hall Accessories 0151X66WH - Deco Cloth B1 with Burnished Grommets Hemmed 6 x 6 m, White",,,,,Adam Hall,4049521211256,,,,,,,160.61,,,
0152X33,Adam Hall Accessories 0152X33 - Stage Molton | B1 300 g/m² | 3 x 3 m,,,,,Adam Hall,4049521134906,,,,,,,109.4,,,
0152X33WH,Adam Hall Accessories 0152X33WH - Stage Molton B1 White with Burnished Grommets Hemmed 3 x 3 m,,,,,Adam Hall,4049521211485,,,,,,,69.83,,,
0152X34,Adam Hall Accessories 0152X34 - Stage Molton | B1 300 g/m² | 3 x 4 m,,,,,Adam Hall,4049521381591,,,,,,,138.68,,,
0152X34WH,Adam Hall Accessories 0152X34WH - Stage Molton B1 with Eyelets - Seamed 3 x 4 m White,,,,,Adam Hall,4049521381607,,,,,,,92.18,,,
0152X35,Adam Hall Accessories 0152X35 - Stage Molton | B1 300 g/m² | 3 x 5 m,,,,,Adam Hall,4049521381614,,,,,,,165.64,,,
0152X35WH,Adam Hall Accessories 0152X35WH - Stage Molton B1 with Eyelets - Seamed 3 x 5 m,,,,,Adam Hall,4049521381621,,,,,,,106.14,,,
0152X36,Adam Hall Accessories 0152X36 - Stage Molton | B1 300 g/m² | 3 x 6 m,,,,,Adam Hall,4049521175121,,,,,,,184.72,,,
0152X36WH,Adam Hall Accessories 0152X36WH - Stage Molton B1 White with Burnished Grommets Hemmed 3 x 6 m,,,,,Adam Hall,4049521211492,,,,,,,111.72,,,
0152X43,Adam Hall Accessories 0152X43 - Stage Molton | B1 300 g/m² | 4 x 3 m,,,,,Adam Hall,4049521134913,,,,,,,155.19,,,
0152X43WH,Adam Hall Accessories 0152X43WH - Stage Molton B1 White with Burnished Grommets Hemmed 4 x 3 m,,,,,Adam Hall,4049521211508,,,,,,,96.01,,,
0152X53,Adam Hall Accessories 0152X53 - Stage Molton | B1 300 g/m² | 5 x 3 m,,,,,Adam Hall,4049521134920,,,,,,,187.3,,,
0152X53WH,Adam Hall Accessories 0152X53WH - Stage Molton B1 White with Burnished Grommets Hemmed 5 x 3 m,,,,,Adam Hall,4049521211157,,,,,,,108.24,,,
0152X63,Adam Hall Accessories 0152X63 - Stage Molton | B1 300 g/m² | 6 x 3 m,,,,,Adam Hall,4049521134937,,,,,,,221.66,,,
0152X63WH,Adam Hall Accessories 0152X63WH - Blackout Cloth B1 White with Burnished Grommets Hemmed 6 x 3 m,,,,,Adam Hall,4049521211515,,,,,,,129.18,,,
0152X64,Adam Hall Accessories 0152X64 - Stage Molton | B1 300 g/m² | 6 x 4 m,,,,,Adam Hall,4049521134944,,,,,,,277.09,,,
0152X64WH,Adam Hall Accessories 0152X64WH - Blackout Cloth B1 White with Burnished Grommets Hemmed 6 x 4 m,,,,,Adam Hall,4049521189111,,,,,,,162.36,,,
0152X66,Adam Hall Accessories 0152X66 - Stage Molton | B1 300 g/m² | 6 x 6 m,,,,,Adam Hall,4049521381638,,,,,,,400.62,,,
0152X66WH,"Adam Hall Accessories 0152X66WH - Stage Molton B1 with Eyelets - Seamed 6 x 6 m, White",,,,,Adam Hall,4049521381645,,,,,,,234.1,,,
0152X93,Adam Hall Accessories 0152X93 - Stage Molton | B1 300 g/m² | 9 x 3 m,,,,,Adam Hall,4049521134951,,,,,,,325.34,,,
0152X93WH,Adam Hall Accessories 0152X93WH - Stage Molton B1 White with Burnished Grommets Hemmed 9 x 3 m,,,,,Adam Hall,4049521211522,,,,,,,200.76,,,
0152X96,Adam Hall Accessories 0152X96 - Stage Molton | B1 300 g/m² | 9 x 6 m,,,,,Adam Hall,4049521134968,,,,,,,579.29,,,
0152X96WH,Adam Hall Accessories 0152X96WH - Stage Molton B1 White with Burnished Grommets Hemmed 9 x 6 m,,,,,Adam Hall,4049521211539,,,,,,,345.65,,,
0153X204,Adam Hall Accessories 0153X204 - Stage Skirt with velcro | B1 300 g/m² | 2 x 0.4 m,,,,,Adam Hall,4049521191695,,,,,,,26.38,,,
0153X206,Adam Hall Accessories 0153X206 - Stage Skirt with velcro | B1 300 g/m² | 2 x 0.6 m,,,,,Adam Hall,4049521157332,,,,,,,32.0,,,
0153X208,Adam Hall Accessories 0153X208 - Stage Skirt with velcro | B1 300 g/m² | 2 x 0.8 m,,,,,Adam Hall,4049521157349,,,,,,,38.13,,,
0153X210,Adam Hall Accessories 0153X210 - Stage Skirt with velcro | B1 300 g/m² | 2 x 1 m,,,,,Adam Hall,4049521157356,,,,,,,42.71,,,
0153X211,Adam Hall Accessories 0153X211 - Platform Cladding B1 with Velcro 2 x 1.1 m,,,,,Adam Hall,4049521157363,,,,,,,43.21,,,
0153X6004,Adam Hall Accessories 0153X6004 - Stage Skirt with velcro | B1 300 g/m² | 60 x 0.4 m,,,,,Adam Hall,4049521204289,,,,,,,844.56,,,
0153X6006,Adam Hall Accessories 0153X6006 - Stage Skirt with velcro | B1 300 g/m² | 60 x 0.6 m,,,,,Adam Hall,4049521204296,,,,,,,1056.42,,,
0153X6008,Adam Hall Accessories 0153X6008 - Stage Skirt with velcro | B1 300 g/m² | 60 x 0.8 m,,,,,Adam Hall,4049521204302,,,,,,,1152.29,,,
0153X6010,Adam Hall Accessories 0153X6010 - Stage Skirt with velcro | B1 300 g/m² | 60 x 1 m,,,,,Adam Hall,4049521204319,,,,,,,1273.0,,,
