SKU,Short Description,Long Description,Model,Category Group,Category,Manufacturer,Manufacturer SKU,Image URL,Document Name,Document URL,Unit Of Measure,Buy Cost,Trade Price,MSRP GBP,MSRP USD,MSRP EUR,Discontinued
,Description,,,,,Copy,,,,,,,,Code,,,
,,,,,,Copy,,,,,,,,Dante Adapters,,,
,"Dante Dual Channel Analog Line Input Adapter with Gain Controls. Made from 90% recycled plastic, including 5% Ocean Bound Plastic.",,,,,Copy,,,,,,,,TAV-D2LEN,,,
,"Dante Dual Channel Analog Line Output Adapter with Gain Controls. Made from 90% recycled plastic, including 5% Ocean Bound Plastic.",,,,,Copy,,,,,,,,TAV-D2LDE,,,
,"Dante Dual Channel Analog XLR to Dante Adapter. Made from 90% recycled plastic, including 5% Ocean Bound Plastic.",,,,,Copy,,,,,,,,TAV-D2XEN,,,
,"Dante Dual Channel Dante to Analog XLR Adapter. Made from 90% recycled plastic, including 5% Ocean Bound Plastic.",,,,,Copy,,,,,,,,TAV-D2XDE,,,
,"Dante Dual Channel USB-C I/O Adapter. Made from 90% recycled plastic, including 5% Ocean Bound Plastic.",,,,,Copy,,,,,,,,TAV-D2USB,,,
,"Dante Dual Channel Bluetooth Input Adapter. Made from 90% recycled plastic, including 5% Ocean Bound Plastic.",,,,,Copy,,,,,,,,TAV-D2BEN,,,
,,,,,,Copy,,,,,,,,Dante Pro Converters ,,,
,Dante Pro Dual Channel Analog Line Input Adapter with Gain Controls.,,,,,Copy,,,,,,,,TAV-D2LEN-PRO,,,
,Dante Pro Dual Channel Analog Line Output Adapter with Gain Controls.,,,,,Copy,,,,,,,,TAV-D2LDE-PRO,,,
,Dante Pro Dual Channel USB-C I/O Adapter.,,,,,Copy,,,,,,,,TAV-D2USB-PRO,,,
,,,,,,Copy,,,,,,,,Dante Amplifier,,,
,"Dante Network Power Amplifier. 150W Class D Amplifier, with 2x Dante inputs, 2x Line inputs, 2x Dante outputs, 2x Line outputs, 2x 75W APM outputs. Built-in Audio DSP.",,,,,Copy,,,,,,,,TAV-DPA150D,,,
,,,,,,Copy,,,,,,,,USB Extender Kit,,,
,100m USB 3.2 5Gbps Extender Kit over CAT. Includes Host & Device Extenders.,,,,,Copy,,,,,,,,TAV-USBEXTKIT1,,,
,,,,,,Copy,,,,,,,,AV over IP ,,,
,CHAZY 4K TX. HDMI 2.0 4K60 4:4:4 HDR AV over IP Low Latency Transmitter (+ Dante AV-A logo),,,,,Copy,,,,,,,,TAV-CHAZY4K-TX,,,
,CHAZY 4K RX. HDMI 2.0 4K60 4:4:4 HDR AV over IP Low Latency Receiver (+Dante AV-A logo),,,,,Copy,,,,,,,,TAV-CHAZY4K-RX,,,
,CHAZY CONTROL. Central Management Box for CHAZY 4K AV over IP series (+Dante AV-A logo),,,,,Copy,,,,,,,,TAV-CHAZY-CTL,,,
,CHAZY 4K Wall Plate TX. HDMI 2.0 4K60 4:4:4 HDR AV over IP Low Latency Transmitter (+ Dante AV-A logo),,,,,Copy,,,,,,,,TAV-CHAZYWPUS-TX,,,
,CHAZY 4K USB-C TX. USB-C/HDMI 2.0 4K60 4:4:4 HDR AV over IP Low Latency Transmitter (+ Dante AV-A logo),,,,,Copy,,,,,,,,TAV-CHAZYUSB-TX,,,
,"CHAZY 1U Rack, holds any mix of 2 Chazy Tx or Rx",,,,,Copy,,,,,,,,TAV-CHAZYRACK1U,,,
,"CHAZY 6U Rack, holds any mix of 10 Chazy Tx or Rx",,,,,Copy,,,,,,,,TAV-CHAZYRACK6U,,,
,DARWIN HD H.265 TX; HDMI 1080p60 4:4:4 AV over IP Transmitter,,,,,Copy,,,,,,,,TAV-DARWINHD-TX,,,
,DARWIN HD H.265 TX; HDMI 1080p60 4:4:4 AV over IP Receiver,,,,,Copy,,,,,,,,TAV-DARWINHD-RX,,,
,DARWIN CONTROL. Central Management Box for DARWIN HD H.265 AV over IP series,,,,,Copy,,,,,,,,TAV-DARWIN-CTL,,,
,"DARWIN 1U Rack, holds any mix of 4 Darwin Tx or Rx.",,,,,Copy,,,,,,,,TAV-DARWINRACK1U,,,
,"DARWIN 4U Rack, holds any mix of 12 Darwin Tx or Rx",,,,,Copy,,,,,,,,TAV-DARWINRACK4U,,,
,,,,,,Copy,,,,,,,,Video Wall / Multiview controller,,,
,"4K60 4:4:4 4x4 Video Wall Matrix and Multi-Viewer with preset layouts. 4x HDMI 2.0 inputs, seamless switching, multi-channel audio and CEC control.",,,,,Copy,,,,,,,,TAV-MX44VW,,,
,"4K60 4:4:4 4x4 Video Wall, Matrix, and Multi-Viewer with preset layouts. 4x HDMI 2.0 inputs, seamless switching, multi-channel audio and CEC control.",,,,,Copy,,,,,,,,TAV-MX88VW,,,
,,,,,,Copy,,,,,,,,Dante Bridge,,,
,"Mineola 2x2 Dante Audio Bridge. 2x XLR inputs with 48V Phantom Power, and 2x XLR outputs with locking etherCON network connector.",,,,,Copy,,,,,,,,TAV-MINEOLA2XLR,,,
,"Mineola 4x4 Dante Audio Bridge. 8x XLR inputs with 48V Phantom Power, and 4x XLR outputs with locking etherCON network connector.",,,,,Copy,,,,,,,,TAV-MINEOLA4XLR,,,
,"Mineola 8x8 Dante Audio Bridge. 8x XLR inputs with 48V Phantom Power, and 8x XLR outputs with locking etherCON network connector.",,,,,Copy,,,,,,,,TAV-MINEOLA8XLR,,,
