SKU,Short Description,Long Description,Model,Category Group,Category,Manufacturer,Manufacturer SKU,Image URL,Document Name,Document URL,Unit Of Measure,Buy Cost,Trade Price,MSRP GBP,MSRP USD,MSRP EUR,Discontinued
,Selective Distribuiton ,,,,,KEF,,,,,,,,,,,
,Product Category ,,,,,KEF,,,,,,,,,,,
SP3582AA,Luxury,,,,,KEF,,,,,PAIR,,,220000.0,,,
,,,,,,KEF,,,,,,,,,,,
SP4044AA,Luxury,,,,,KEF,,,,,PAIR,,,36750.0,,,
SP4044BA,Luxury,,,,,KEF,,,,,PAIR,,,36750.0,,,
SP4044CA,Luxury,,,,,KEF,,,,,PAIR,,,36750.0,,,
SP4044HA,Luxury,,,,,KEF,,,,,PAIR,,,36750.0,,,
SP4044KA,Luxury,,,,,KEF,,,,,PAIR,,,36750.0,,,
SP4044ZA01,Luxury,,,,,KEF,,,,,PAIR,,,36750.0,,,
SP4044ZA02,Luxury,,,,,KEF,,,,,PAIR,,,36750.0,,,
SP4044ZA03,Luxury,,,,,KEF,,,,,PAIR,,,36750.0,,,
SP4044ZA99,Luxury,,,,,KEF,,,,,PAIR,,,40950.0,,,
,,,,,,KEF,,,,,,,,,,,
SP4045AA,Luxury,,,,,KEF,,,,,PAIR,,,27300.0,,,
SP4045BA,Luxury,,,,,KEF,,,,,PAIR,,,27300.0,,,
SP4045CA,Luxury,,,,,KEF,,,,,PAIR,,,27300.0,,,
SP4045HA,Luxury,,,,,KEF,,,,,PAIR,,,27300.0,,,
SP4045KA,Luxury,,,,,KEF,,,,,PAIR,,,27300.0,,,
SP4045ZA01,Luxury,,,,,KEF,,,,,PAIR,,,27300.0,,,
SP4045ZA02,Luxury,,,,,KEF,,,,,PAIR,,,27300.0,,,
SP4045ZA03,Luxury,,,,,KEF,,,,,PAIR,,,27300.0,,,
SP4045ZA99,Luxury,,,,,KEF,,,,,PAIR,,,30450.0,,,
,,,,,,KEF,,,,,,,,,,,
SP4048AA,Luxury,,,,,KEF,,,,,PAIR,,,10000.0,,,
SP4048BA,Luxury,,,,,KEF,,,,,PAIR,,,10000.0,,,
SP4048CA,Luxury,,,,,KEF,,,,,PAIR,,,10000.0,,,
SP4048EA,Luxury,,,,,KEF,,,,,PAIR,,,10000.0,,,
SP4048WA,Luxury,,,,,KEF,,,,,PAIR,,,10000.0,,,
SP4049AA,Luxury,,,,,KEF,,,,,PAIR,,,15000.0,,,
SP4049BA,Luxury,,,,,KEF,,,,,PAIR,,,15000.0,,,
SP4049CA,Luxury,,,,,KEF,,,,,PAIR,,,15000.0,,,
SP4049EA,Luxury,,,,,KEF,,,,,PAIR,,,15000.0,,,
SP4049WA,Luxury,,,,,KEF,,,,,PAIR,,,15000.0,,,
SP4050AA,Luxury,,,,,KEF,,,,,PAIR,,,22000.0,,,
SP4050BA,Luxury,,,,,KEF,,,,,PAIR,,,22000.0,,,
SP4050CA,Luxury,,,,,KEF,,,,,PAIR,,,22000.0,,,
SP4050EA,Luxury,,,,,KEF,,,,,PAIR,,,22000.0,,,
SP4050WA,Luxury,,,,,KEF,,,,,PAIR,,,22000.0,,,
SP4051AA,Luxury,,,,,KEF,,,,,Piece,,,6000.0,,,
SP4051BA,Luxury,,,,,KEF,,,,,Piece,,,6000.0,,,
SP4051CA,Luxury,,,,,KEF,,,,,Piece,,,6000.0,,,
SP4051EA,Luxury,,,,,KEF,,,,,Piece,,,6000.0,,,
SP4051WA,Luxury,,,,,KEF,,,,,Piece,,,6000.0,,,
SP4052AA,Luxury,,,,,KEF,,,,,Piece,,,8000.0,,,
SP4052BA,Luxury,,,,,KEF,,,,,Piece,,,8000.0,,,
SP4052CA,Luxury,,,,,KEF,,,,,Piece,,,8000.0,,,
SP4052EA,Luxury,,,,,KEF,,,,,Piece,,,8000.0,,,
SP4052WA,Luxury,,,,,KEF,,,,,Piece,,,8000.0,,,
SP3868BA,Luxury,,,,,KEF,,,,,Piece,,,6000.0,,,
SP4061AA,Luxury,,,,,KEF,,,,,PAIR,,,1200.0,,,
SP4061BA,Luxury,,,,,KEF,,,,,PAIR,,,1200.0,,,
SP3890BA,Luxury,,,,,KEF,,,,,Piece,,,1250.0,,,
,,,,,,KEF,,,,,,,,,,,
SP3880AA,Luxury,,,,,KEF,,,,,Pair Set ,,,130.0,,,
SP3887AA,Luxury,,,,,KEF,,,,,Set ,,,100.0,,,
SP3881AA,Luxury,,,,,KEF,,,,,Pair Set ,,,250.0,,,
SP3883AA,Luxury,,,,,KEF,,,,,Set ,,,180.0,,,
SP3882AA,Luxury,,,,,KEF,,,,,Pair Set ,,,300.0,,,
,,,,,,KEF,,,,,,,,,,,
SP4027AA,Supreme ,,,,,KEF,,,,,PAIR,,,1399.0,,,
SP4027BA,Supreme ,,,,,KEF,,,,,PAIR,,,1399.0,,,
SP4027CA,Supreme ,,,,,KEF,,,,,PAIR,,,1399.0,,,
SP4027HA,Supreme ,,,,,KEF,,,,,PAIR,,,1399.0,,,
,,,,,,KEF,,,,,,,,,,,
SP4053A1AA,Supreme ,,,,,KEF,,,,,PAIR,,,2300.0,,,
SP4053B1AA,Supreme ,,,,,KEF,,,,,PAIR,,,2300.0,,,
SP4053W0AA,Supreme ,,,,,KEF,,,,,PAIR,,,2300.0,,,
SP4053C1AA,Supreme ,,,,,KEF,,,,,PAIR,,,2300.0,,,
SP4054A1AA,Supreme ,,,,,KEF,,,,,PAIR,,,3600.0,,,
SP4054B1AA,Supreme ,,,,,KEF,,,,,PAIR,,,3600.0,,,
SP4054W0AA,Supreme ,,,,,KEF,,,,,PAIR,,,3600.0,,,
SP4055A1AA,Supreme ,,,,,KEF,,,,,PAIR,,,5250.0,,,
SP4055B1AA,Supreme ,,,,,KEF,,,,,PAIR,,,5250.0,,,
SP4055W0AA,Supreme ,,,,,KEF,,,,,PAIR,,,5250.0,,,
SP4055H1AA,Supreme ,,,,,KEF,,,,,PAIR,,,5250.0,,,
SP4056A1AA,Supreme ,,,,,KEF,,,,,PAIR,,,6800.0,,,
SP4056B1AA,Supreme ,,,,,KEF,,,,,PAIR,,,6800.0,,,
SP4056W0AA,Supreme ,,,,,KEF,,,,,PAIR,,,6800.0,,,
SP4057A1AA,Supreme ,,,,,KEF,,,,,Piece,,,1500.0,,,
SP4057B1AA,Supreme ,,,,,KEF,,,,,Piece,,,1500.0,,,
SP4057W0AA,Supreme ,,,,,KEF,,,,,Piece,,,1500.0,,,
SP4058A1AA,Supreme ,,,,,KEF,,,,,Piece,,,1900.0,,,
SP4058B1AA,Supreme ,,,,,KEF,,,,,Piece,,,1900.0,,,
SP4058W0AA,Supreme ,,,,,KEF,,,,,Piece,,,1900.0,,,
SP4059AA,Supreme ,,,,,KEF,,,,,PAIR,,,1700.0,,,
SP4059BA,Supreme ,,,,,KEF,,,,,PAIR,,,1700.0,,,
SP4059WA,Supreme ,,,,,KEF,,,,,PAIR,,,1700.0,,,
,,,,,,KEF,,,,,,,,,,,
SP3980BA,Premium,,,,,KEF,,,,,PAIR,,,49.0,,,
SP4107M0AA,Premium,,,,,KEF,,,,,PAIR,,,299.0,,,
SP4107A0AA,Premium,,,,,KEF,,,,,PAIR,,,299.0,,,
SP4106B0AA,Premium,,,,,KEF,,,,,PAIR,,,85.0,,,
SP4087B0AA,Premium,,,,,KEF,,,,,PAIR,,,548.0,,,
SP4087A0AA,Premium,,,,,KEF,,,,,PAIR,,,548.0,,,
SP4087W0AA,Premium,,,,,KEF,,,,,PAIR,,,548.0,,,
SP4089B0AA,Premium,,,,,KEF,,,,,PAIR,,,698.0,,,
SP4089A0AA,Premium,,,,,KEF,,,,,PAIR,,,698.0,,,
SP4089W0AA,Premium,,,,,KEF,,,,,PAIR,,,698.0,,,
SP4090B0AA,Premium,,,,,KEF,,,,,PAIR,,,1198.0,,,
SP4090A0AA,Premium,,,,,KEF,,,,,PAIR,,,1198.0,,,
SP4090W0AA,Premium,,,,,KEF,,,,,PAIR,,,1198.0,,,
SP4091B0AA,Premium,,,,,KEF,,,,,Piece,,,749.0,,,
SP4091A0AA,Premium,,,,,KEF,,,,,Piece,,,749.0,,,
SP4091W0AA,Premium,,,,,KEF,,,,,Piece,,,749.0,,,
SP4092B0AA,Premium,,,,,KEF,,,,,PAIR,,,1598.0,,,
SP4092A0AA,Premium,,,,,KEF,,,,,PAIR,,,1598.0,,,
SP4092W0AA,Premium,,,,,KEF,,,,,PAIR,,,1598.0,,,
SP4093B0AA,Premium,,,,,KEF,,,,,PAIR,,,2198.0,,,
SP4093A0AA,Premium,,,,,KEF,,,,,PAIR,,,2198.0,,,
SP4093W0AA,Premium,,,,,KEF,,,,,PAIR,,,2198.0,,,
SP4094B0AA,Premium,,,,,KEF,,,,,PAIR,,,698.0,,,
SP4094A0AA,Premium,,,,,KEF,,,,,PAIR,,,698.0,,,
SP4094W0AA,Premium,,,,,KEF,,,,,PAIR,,,698.0,,,
SP4088B0AA,Premium,,,,,KEF,,,,,Piece,,,399.0,,,
SP4088A0AA,Premium,,,,,KEF,,,,,Piece,,,399.0,,,
SP4088W0AA,Premium,,,,,KEF,,,,,Piece,,,399.0,,,
,,,,,,KEF,,,,,,,,,,,
SP3744BB,Premium,,,,,KEF,,,,,PAIR,,,479.0,,,
SP3746BB,Premium,,,,,KEF,,,,,Piece,,,249.0,,,
SP3746AA,Premium,,,,,KEF,,,,,Piece,,,249.0,,,
SP3745BB,Premium,,,,,KEF,,,,,PAIR,,,629.0,,,
SP3747BB,Premium,,,,,KEF,,,,,Piece,,,339.0,,,
SP3747AA,Premium,,,,,KEF,,,,,Piece,,,339.0,,,
SP3740BAE,Premium,,,,,KEF,,,,,Piece,,,789.0,,,
SP3740AAE,Premium,,,,,KEF,,,,,Piece,,,789.0,,,
SP3748BB,Premium,,,,,KEF,,,,,PAIR,,,379.0,,,
SP3748AA,Premium,,,,,KEF,,,,,PAIR,,,379.0,,,
,,,,,,KEF,,,,,,,,,,,
,,,,,,KEF,,,,,,,,,,,
SP4017AA,Supreme ,,,,,KEF,,,,,PAIR,,,5499.0,,,
SP4017CA,Supreme ,,,,,KEF,,,,,PAIR,,,5499.0,,,
SP4017HA,Supreme ,,,,,KEF,,,,,PAIR,,,5499.0,,,
SP4017BA,Supreme ,,,,,KEF,,,,,PAIR,,,5499.0,,,
,,,,,,KEF,,,,,,,,,,,
SP4025AA,Supreme ,,,,,KEF,,,,,PAIR,,,2499.0,,,
SP4025BA,Supreme ,,,,,KEF,,,,,PAIR,,,2499.0,,,
SP4025HA,Supreme ,,,,,KEF,,,,,PAIR,,,2499.0,,,
SP4025KA,Supreme ,,,,,KEF,,,,,PAIR,,,2499.0,,,
,,,,,,KEF,,,,,,,,,,,
SP4041BA,Supreme ,,,,,KEF,,,,,PAIR,,,1399.0,,,
SP4041AA,Supreme ,,,,,KEF,,,,,PAIR,,,1399.0,,,
SP4041CA,Supreme ,,,,,KEF,,,,,PAIR,,,1399.0,,,
SP4041KA,Supreme ,,,,,KEF,,,,,PAIR,,,1399.0,,,
SP4041DA,Supreme ,,,,,KEF,,,,,PAIR,,,1399.0,,,
SP4041JA,Supreme ,,,,,KEF,,,,,PAIR,,,1399.0,,,
SP4077A2AA,Premium,,,,,KEF,,,,,PAIR,,,999.0,,,
SP4077J2AA,Premium,,,,,KEF,,,,,PAIR,,,999.0,,,
SP4077M2AA,Premium,,,,,KEF,,,,,PAIR,,,999.0,,,
,,,,,,KEF,,,,,,,,,,,
SP4014CA,Premium,,,,,KEF,,,,,PAIR,,,349.0,,,
SP4014KA,Premium,,,,,KEF,,,,,PAIR,,,349.0,,,
SP4014MA,Premium,,,,,KEF,,,,,PAIR,,,349.0,,,
SP4014ZA01,Premium,,,,,KEF,,,,,PAIR,,,349.0,,,
SP4015BA,Premium,,,,,KEF,,,,,PAIR,,,229.0,,,
SP4015GA,Premium,,,,,KEF,,,,,PAIR,,,229.0,,,
SP4013BA,Premium,,,,,KEF,,,,,PAIR,,,159.0,,,
SP4013GA,Premium,,,,,KEF,,,,,PAIR,,,159.0,,,
SP4103B0Aa,Premium,,,,,KEF,,,,,Piece,,,59.0,,,
,,,,,,KEF,,,,,,,,,,,
SP4063AX,Supreme ,,,,,KEF,,,,,Piece,,,159.0,,,
SP4063HX,Supreme ,,,,,KEF,,,,,Piece,,,159.0,,,
,,,,,,KEF,,,,,,,,,,,
SP4062CA,Supreme ,,,,,KEF,,,,,PAIR,,,749.0,,,
SP4062MA,Supreme ,,,,,KEF,,,,,PAIR,,,749.0,,,
SP4062AA,Supreme ,,,,,KEF,,,,,PAIR,,,749.0,,,
