SKU,Short Description,Long Description,Model,Category Group,Category,Manufacturer,Manufacturer SKU,Image URL,Document Name,Document URL,Unit Of Measure,Buy Cost,Trade Price,MSRP GBP,MSRP USD,MSRP EUR,Discontinued
20-755         QO,CANF Phantom Power Supply P48  2 Chan  A,,,,,RG Jones,,,,,,90.0,,90.0,,,
2106526        QO,10W 100V Line Transformer,,,,,RG Jones,,,,,,14.7,,14.7,,,
227-910370     QO,Mini Jack 3.5MM,,,,,RG Jones,,,,,,1.55,,1.55,,,
A-1121    UK,PA AMPLIFIER,,,,,RG Jones,,,,,,122.41,,122.41,,,
A-1706    AS,PA AMPLIFIER,,,,,RG Jones,,,,,,181.13,,181.13,,,
A-1706    ER,PA AMPLIFIER,,,,,RG Jones,,,,,,181.13,,181.13,,,
A-1706    UK,PA AMPLIFIER,,,,,RG Jones,,,,,,181.13,,181.13,,,
A-1712    AS,PA AMPLIFIER,,,,,RG Jones,,,,,,205.28,,205.28,,,
A-1712    ER,PA AMPLIFIER,,,,,RG Jones,,,,,,205.28,,205.28,,,
A-1712    UK,PA AMPLIFIER,,,,,RG Jones,,,,,,205.28,,205.28,,,
A-1724    ER,PA AMPLIFIER,,,,,RG Jones,,,,,,291.38,,291.38,,,
A-1724    UK,PA AMPLIFIER,,,,,RG Jones,,,,,,291.38,,291.38,,,
A-1803    UK,PA AMPLIFIER,,,,,RG Jones,,,,,,173.25,,173.25,,,
A-1806    ER,PA AMPLIFIER,,,,,RG Jones,,,,,,210.0,,210.0,,,
A-1806    UK,PA AMPLIFIER,,,,,RG Jones,,,,,,210.0,,210.0,,,
A-1812    ER,PA AMPLIFIER,,,,,RG Jones,,,,,,233.63,,233.63,,,
A-1812    UK,PA AMPLIFIER,,,,,RG Jones,,,,,,233.63,,233.63,,,
A-2030    CE-GB,MIXER AMPLIFIER,,,,,RG Jones,,,,,,93.98,,93.98,,,
A-2030DD-EB 4CEF00,DIGITAL PA AMPLIFIER,,,,,RG Jones,,,,,,104.48,,104.48,,,
A-2060    CE-GB,MIXER AMPLIFIER,,,,,RG Jones,,,,,,120.23,,120.23,,,
A-2060DD-EB 4CEF00,DIGITAL PA AMPLIFIER,,,,,RG Jones,,,,,,125.48,,125.48,,,
A-2120    CE-GB,MIXER AMPLIFIER,,,,,RG Jones,,,,,,146.48,,146.48,,,
A-2120DD-EB 4CEF00,DIGITAL PA AMPLIFIER,,,,,RG Jones,,,,,,141.23,,141.23,,,
A-2120DD-EB 4CEF01,DIGITAL PA AMPLIFIER,,,,,RG Jones,,,,,,146.48,,146.48,,,
A-2240    CE-GB,MIXER AMPLIFIER,,,,,RG Jones,,,,,,230.48,,230.48,,,
A-2240DD-EB 4CEF00,DIGITAL PA AMPLIFIER,,,,,RG Jones,,,,,,177.98,,177.98,,,
A-2240DD-EB 4CEF01,DIGITAL PA AMPLIFIER,,,,,RG Jones,,,,,,177.98,,177.98,,,
A-230     CE-GB,PA AMPLIFIER,,,,,RG Jones,,,,,,76.13,,76.13,,,
A-3212DM-EB 4CEF00,DIGITAL MIXER AMPLIFIER,,,,,RG Jones,,,,,,261.98,,261.98,,,
A-3212DMZ-EB4CEF00,DIGITAL MIXER AMPLIFIER,,,,,RG Jones,,,,,,288.23,,288.23,,,
A-3212DZ-EB 4CEF00,DIGITAL MIXER AMPLIFIER,,,,,RG Jones,,,,,,209.48,,209.48,,,
A-3224DM-EB 4CEF00,DIGITAL MIXER AMPLIFIER,,,,,RG Jones,,,,,,288.23,,288.23,,,
A-3224DMZ-EB4CEF00,DIGITAL MIXER AMPLIFIER,,,,,RG Jones,,,,,,314.48,,314.48,,,
A-3224DZ-EB 4CEF00,DIGITAL MIXER AMPLIFIER,,,,,RG Jones,,,,,,235.73,,235.73,,,
A-3248DM-EB 4CEF00,DIGITAL MIXER AMPLIFIER,,,,,RG Jones,,,,,,314.48,,314.48,,,
A-3248DME-EB4CEF00,DIGITAL MIXER AMPLIFIER,,,,,RG Jones,,,,,,340.73,,340.73,,,
A-3248DMZ-EB4CEF00,DIGITAL MIXER AMPLIFIER,,,,,RG Jones,,,,,,340.73,,340.73,,,
A-3248DZ-EB 4CEF00,DIGITAL MIXER AMPLIFIER,,,,,RG Jones,,,,,,288.23,,288.23,,,
A-3506D     4CEE00,MIXER AMPLIFIER,,,,,RG Jones,,,,,,261.98,,261.98,,,
A-3512D     4CEE00,MIXER AMPLIFIER,,,,,RG Jones,,,,,,288.23,,288.23,,,
A-3524D     4CEE00,MIXER AMPLIFIER,,,,,RG Jones,,,,,,314.48,,314.48,,,
A-3548D     4CEE00,MIXER AMPLIFIER,,,,,RG Jones,,,,,,340.73,,340.73,,,
A-3606D     4CEE00,MIXER AMPLIFIER,,,,,RG Jones,,,,,,314.48,,314.48,,,
A-3612D     4CEE00,MIXER AMPLIFIER,,,,,RG Jones,,,,,,340.73,,340.73,,,
A-3624D     4CEE00,MIXER AMPLIFIER,,,,,RG Jones,,,,,,366.98,,366.98,,,
A-3648D     4CEE00,MIXER AMPLIFIER,,,,,RG Jones,,,,,,393.23,,393.23,,,
A-5006      1CEE00,MIXER AMPLIFIER,,,,,RG Jones,,,,,,223.13,,223.13,,,
A-5006      4CED00,MIXER AMPLIFIER,,,,,RG Jones,,,,,,223.13,,223.13,,,
A-5012      1CEE00,MIXER AMPLIFIER,,,,,RG Jones,,,,,,236.25,,236.25,,,
A-5012      4CED00,MIXER AMPLIFIER,,,,,RG Jones,,,,,,236.25,,236.25,,,
A-906MK2  HH,PA AMPLIFIER,,,,,RG Jones,,,,,,405.35,,405.35,,,
A-912MK2  HH,PA AMPLIFIER,,,,,RG Jones,,,,,,465.93,,465.93,,,
ACC-33WS,Foam Windshield for TS33,,,,,RG Jones,,,,,,2.63,,2.63,,,
ACC-4U-CASE,Trantec 4U 19 325mm Rack Case 7MM Ply,,,,,RG Jones,,,,,,170.63,,170.63,,,
ACC-5200-CLIP,Trantec Tie Clip for TS55 Lapel Mic,,,,,RG Jones,,,,,,3.41,,3.41,,,
ACC-5200WS,Foam windshield for MIC-X55 and MIC-SJ55,,,,,RG Jones,,,,,,2.63,,2.63,,,
ACC-5U-CASE,Trantec 5U 19 325mm Rack Case 7MM Ply,,,,,RG Jones,,,,,,189.0,,189.0,,,
ACC-66WS,Foam windshield for MIC-X66-BK/BL/YE and,,,,,RG Jones,,,,,,3.15,,3.15,,,
ACC-6U-CASE,Trantec 6U 19 325mm Rack Case 7MM Ply,,,,,RG Jones,,,,,,196.88,,196.88,,,
ACC-8U-CASE,Trantec 8U 19 325mm Rack Case 7MM Ply,,,,,RG Jones,,,,,,207.38,,207.38,,,
ACC-AB1000,Trantec Aerobic Belt for SLTX Beltpack,,,,,RG Jones,,,,,,13.13,,13.13,,,
ACC-CASEA,ABS Carry Case S4/S5 Series,,,,,RG Jones,,,,,,15.72,,15.72,,,
ACC-CUBE-CASE,Trantec 5U 1/2 Width x 300mmd 700mm Ply,,,,,RG Jones,,,,,,170.63,,170.63,,,
ACC-LP2-CLIP,TIE CLIP,,,,,RG Jones,,,,,,1.58,,1.58,,,
ACC-MSTAND,Trantec Mic Floor Stand,,,,,RG Jones,,,,,,23.63,,23.63,,,
ACC-S2.4,Rack Mount Bracket S2.4,,,,,RG Jones,,,,,,5.25,,5.25,,,
ACC-S5-POUCH,POUCH,,,,,RG Jones,,,,,,15.23,,15.23,,,
ACC-S5B-BATC,BATTERY COMPARTMENT,,,,,RG Jones,,,,,,6.56,,6.56,,,
ACC-S5B-BATD,BATTERY DOOR,,,,,RG Jones,,,,,,1.05,,1.05,,,
ACC-S5B-CLIP,BELT CLIP,,,,,RG Jones,,,,,,2.63,,2.63,,,
ACC-S5RX-MB1,RACK MOUNTING BRACKET,,,,,RG Jones,,,,,,7.88,,7.88,,,
ACC-S5RX-MB2,RACK MOUNTING BRACKET,,,,,RG Jones,,,,,,6.56,,6.56,,,
ACC-S5RX-MB3,RACK MOUNTING BRACKET,,,,,RG Jones,,,,,,18.38,,18.38,,,
ACC-SPLIT-2W-W,Trantec 2Way Antenna Splitter UHF,,,,,RG Jones,,,,,,44.63,,44.63,,,
ACC-TC-BGE,Trantec Beige Tieclip for TS22-P  TS212S,,,,,RG Jones,,,,,,3.15,,3.15,,,
ACC-TC-BLK,Tieclip for HM-22B & LM-212B,,,,,RG Jones,,,,,,3.15,,3.15,,,
ACC-WS-BGE,Trantec Beige W/Shield for TS22-P  TS21S,,,,,RG Jones,,,,,,1.58,,1.58,,,
ACC-WS-BLK,"-R/P-R, MIC-SJ212-B-R/P-R and MIC-X22-B-",,,,,RG Jones,,,,,,1.58,,1.58,,,
ACC-X2-CLIP,TIE CLIP,,,,,RG Jones,,,,,,2.1,,2.1,,,
AD-0910   CE,AC ADAPTER,,,,,RG Jones,,,,,,32.81,,32.81,,,
AD-1210P  CE,AC ADAPTER,,,,,RG Jones,,,,,,31.8,,31.8,,,
AD-246    UK,AC ADAPTER,,,,,RG Jones,,,,,,31.5,,31.5,,,
AD-5000-2 UK,AC ADAPTER,,,,,RG Jones,,,,,,31.5,,31.5,,,
AD-5000-6 UK,AC ADAPTER,,,,,RG Jones,,,,,,34.13,,34.13,,,
AFP385         QO,Grey Flush Bezel for ECU-8,,,,,RG Jones,,,,,,18.5,,18.5,,,
AI-300MU       QO,Maintenance Unit for remote access,,,,,RG Jones,,,,,,462.86,,462.86,,,
AM-1B          B00,REAL-TIME STEERING ARRAY MICROPHONE,,,,,RG Jones,,,,,,1150.8,,1150.8,,,
AM-1B          B01,REAL-TIME STEERING ARRAY MICROPHONE,,,,,RG Jones,,,,,,1150.8,,1150.8,,,
AM-1CQAM  92200,CONTROL UNIT,,,,,RG Jones,,,,,,443.52,,443.52,,,
AM-1MBQAM 92200,Real Time Steering Array Mic Syst Black,,,,,RG Jones,,,,,,957.88,,957.88,,,
AM-1MWQAM 92200,Real Time Steering Array Mic Syst White,,,,,RG Jones,,,,,,957.88,,957.88,,,
AM-1W          B00,REAL-TIME STEERING ARRAY MICROPHONE,,,,,RG Jones,,,,,,1150.8,,1150.8,,,
AM-1WBB        QO,AM-1 Mounting Kit (Black),,,,,RG Jones,,,,,,150.0,,150.0,,,
AM-1WBW        QO,AM-1 Mounting Kit (White),,,,,RG Jones,,,,,,150.0,,150.0,,,
AM-CF1B     H  E00,INTEGRATED AUDIO COLLABORATION SYSTEM,,,,,RG Jones,,,,,,1117.2,,1117.2,,,
AM-CF1B     Q  E00,"Steerable Mic. Array, Blk, req.AD-5000-6",,,,,RG Jones,,,,,,1324.4,,1324.4,,,
AM-CF1W     H  E00,INTEGRATED AUDIO COLLABORATION SYSTEM,,,,,RG Jones,,,,,,1117.2,,1117.2,,,
AM-CF1W     Q  E00,"Steerable Mic. Array, Blk, req.AD-5000-6",,,,,RG Jones,,,,,,1324.4,,1324.4,,,
AN-001T,9000SERIES PLUG-IN MODULE,,,,,RG Jones,,,,,,120.23,,120.23,,,
AN-9001,CEILING MOUNT MICROPHONE,,,,,RG Jones,,,,,,28.88,,28.88,,,
ANT-S4.16RX-D,WIRELESS ANTENNA,,,,,RG Jones,,,,,,7.88,,7.88,,,
ANT-S4.16RX-G,WIRELESS ANTENNA,,,,,RG Jones,,,,,,7.88,,7.88,,,
ANT-S4.4RX-EA,WIRELESS ANTENNA,,,,,RG Jones,,,,,,2.6,,2.6,,,
ANT-S5RX-D,WIRELESS ANTENNA,,,,,RG Jones,,,,,,7.88,,7.88,,,
ANT-S5RX-G,WIRELESS ANTENNA,,,,,RG Jones,,,,,,7.88,,7.88,,,
ANT-UDA-49AP   QO,Trantec Active Passive Antenna,,,,,RG Jones,,,,,,112.88,,112.88,,,
ANT-UHF-GP694B,UHF Ground Antenna (572 - 672MHz),,,,,RG Jones,,,,,,366.98,,366.98,,,
ANT-UHF-GP830B,UHF Ground Antenna (798-865 Mhz),,,,,RG Jones,,,,,,366.98,,366.98,,,
ANT-UHF-PADA,Trantec Active Directional Paddle Antena,,,,,RG Jones,,,,,,83.48,,83.48,,,
ANT-UHF-PADP,Trantec Passive Directional Paddle Ant,,,,,RG Jones,,,,,,83.48,,83.48,,,
APH-20,Active Reflex Horn Speaker,,,,,RG Jones,,,,,,84.0,,84.0,,,
AT-4012B-EB    F00,Attenuator 12 W w/Box,,,,,RG Jones,,,,,,17.59,,17.59,,,
AT-4030B-EB    F00,Attenuator  30W,,,,,RG Jones,,,,,,21.0,,21.0,,,
AT-4060B-EB    F00,Attenuator 60 W,,,,,RG Jones,,,,,,22.05,,22.05,,,
AT-4120B-EB    F00,Attenuator 120W,,,,,RG Jones,,,,,,23.1,,23.1,,,
AT-4200B-EB    F00,Attenuator 200W,,,,,RG Jones,,,,,,24.15,,24.15,,,
ATT-100VI      QO,Attentuator Board,,,,,RG Jones,,,,,,13.91,,13.91,,,
B-01F,BRIDGING TRANS MODULE,,,,,RG Jones,,,,,,35.61,,35.61,,,
BC-2000     Y  A00,BATTERY CHARGER,,,,,RG Jones,,,,,,154.88,,154.88,,,
BC-2000A    Y  A00,BATTERY CHARGER,,,,,RG Jones,,,,,,154.88,,154.88,,,
BC-5000-12,BATTERY CHARGER,,,,,RG Jones,,,,,,984.38,,984.38,,,
BC-5000-2,BATTERY CHARGER,,,,,RG Jones,,,,,,154.88,,154.88,,,
BC-5000-2      A00,BATTERY CHARGER,,,,,RG Jones,,,,,,154.88,,154.88,,,
BC-5000-6,BATTERY CHARGER,,,,,RG Jones,,,,,,724.5,,724.5,,,
BC-5000-6      A01,BATTERY CHARGER,,,,,RG Jones,,,,,,724.5,,724.5,,,
BC-900    CE,BATTERY CHARGER,,,,,RG Jones,,,,,,488.25,,488.25,,,
BC-920      4CEA00,BATTERY CHARGER,,,,,RG Jones,,,,,,511.88,,511.88,,,
BC286/2        QO,24V 7Ahr SLA Battery (2x12V inc link),,,,,RG Jones,,,,,,25.0,,25.0,,,
BF359/1        QO,Anit-Tamper Enc-EVC302F  Weatherproof,,,,,RG Jones,,,,,,102.14,,102.14,,,
BF359/2        QO,Anti-Tamper Enclosure for ECU-8  GRY,,,,,RG Jones,,,,,,300.0,,300.0,,,
BF359/2B       QO,Flush mounting bezel for BF359/2,,,,,RG Jones,,,,,,100.0,,100.0,,,
BF359/3D       QO,Anti-Tamper Enclosure ECU-8 Stainless,,,,,RG Jones,,,,,,193.0,,193.0,,,
BK-013    BUK  QO,Blank Panel  1U  Black (UK Version),,,,,RG Jones,,,,,,8.12,,8.12,,,
BK-023    BUK  QO,Blank Panel  2U   Black (UK VERSION),,,,,RG Jones,,,,,,9.99,,9.99,,,
BK-023B,2-SIZE BLANK PANEL,,,,,RG Jones,,,,,,14.37,,14.37,,,
BK-033    BUK  QO,Blank Panel  3U   Black (UK VERSION),,,,,RG Jones,,,,,,15.0,,15.0,,,
BK-1100,BLANK PANEL,,,,,RG Jones,,,,,,22.49,,22.49,,,
BK-1300,BLANK PANEL,,,,,RG Jones,,,,,,28.73,,28.73,,,
BNC(M)-TNC(F)  QO,BNC(M)-TNC(F) Conversion connector,,,,,RG Jones,,,,,,2.4,,2.4,,,
BP-24V/100AH   QO,24V100AH Btry.W/Link Cables&Covers Pairs,,,,,RG Jones,,,,,,880.0,,880.0,,,
BP-24V/65AH    QO,24V65AH Btry.W/Link Cables&Covers Pairs,,,,,RG Jones,,,,,,570.0,,570.0,,,
BP-900    CE,RECHARGEABLE LITHIUM ION BATT.,,,,,RG Jones,,,,,,68.25,,68.25,,,
BP-900A     -CEB00,RECHARGEABLE LITHIUM-ION BATTERY,,,,,RG Jones,,,,,,66.74,,66.74,,,
BP-900A     -CEB01,RECHARGEABLE LITHIUM-ION BATTERY,,,,,RG Jones,,,,,,66.74,,66.74,,,
BP-900A     -CEB02,RECHARGEABLE LITHIUM-ION BATTERY,,,,,RG Jones,,,,,,66.74,,66.74,,,
BP-900A     -CEB03,RECHARGEABLE LITHIUM-ION BATTERY,,,,,RG Jones,,,,,,66.74,,66.74,,,
BP-920      Y  B00,RECHARGEABLE LITHIUM-ION BATTERY,,,,,RG Jones,,,,,,68.25,,68.25,,,
BS-1015BSB,COMPACT SPEAKER,,,,,RG Jones,,,,,,63.0,,63.0,,,
BS-1015BSW,COMPACT SPEAKER,,,,,RG Jones,,,,,,63.0,,63.0,,,
BS-1030B,COMPACT SPEAKER (BLK),,,,,RG Jones,,,,,,50.4,,50.4,,,
BS-1030B-EB    QO,Wall SPEAKER (BLK) AXIS,,,,,RG Jones,,,,,,28.5,,28.5,,,
BS-1030W,COMPACT SPEAKER (WHT),,,,,RG Jones,,,,,,50.4,,50.4,,,
BS-1030W-EB    QO,Wall SPEAKER (Wht) AXIS,,,,,RG Jones,,,,,,28.5,,28.5,,,
BS-1034,WALL MOUNT SPEAKER,,,,,RG Jones,,,,,,35.7,,35.7,,,
BS-1034EN,WALL MOUNT SPEAKER,,,,,RG Jones,,,,,,37.28,,37.28,,,
BS-1034S,WALL MOUNT SPEAKER,,,,,RG Jones,,,,,,39.38,,39.38,,,
BS-10WL,BOX SPEAKER,,,,,RG Jones,,,,,,54.34,,54.34,,,
BS-1110W,UNIVERSAL SPEAKER,,,,,RG Jones,,,,,,41.91,,41.91,,,
BS-1120W,UNIVERSAL SPEAKER,,,,,RG Jones,,,,,,67.33,,67.33,,,
BS-250AB-EB,A/B WALL MOUNT SPEAKER EN54-24,,,,,RG Jones,,,,,,47.25,,47.25,,,
BS-301B,SPEAKER SYSTEM,,,,,RG Jones,,,,,,236.25,,236.25,,,
BS-301W,SPEAKER SYSTEM,,,,,RG Jones,,,,,,236.25,,236.25,,,
BS-5W,BOX SPEAKER,,,,,RG Jones,,,,,,60.59,,60.59,,,
BS-633A,WALL MOUNT SPEAKER 6W,,,,,RG Jones,,,,,,12.34,,12.34,,,
BS-633AT,WALL MOUNT SPEAKER 6W WITH ATT,,,,,RG Jones,,,,,,15.75,,15.75,,,
BS-634,WALL MOUNT SPEAKER,,,,,RG Jones,,,,,,27.56,,27.56,,,
BS-634T,WALL MOUNT SPEAKER,,,,,RG Jones,,,,,,34.13,,34.13,,,
BS-677B,BOX SPEAKER,,,,,RG Jones,,,,,,11.24,,11.24,,,
BS-678,WALL MOUNT SPEAKER 6W,,,,,RG Jones,,,,,,16.28,,16.28,,,
BS-678         F00,WALL MOUNT SPEAKER 6W,,,,,RG Jones,,,,,,23.1,,23.1,,,
BS-678AB-EB    F00,AB WALL MOUNT SPEAKER,,,,,RG Jones,,,,,,42.0,,42.0,,,
BS-678B,WALL MOUNT SPEAKER 6W BLK,,,,,RG Jones,,,,,,16.28,,16.28,,,
BS-678B        F00,WALL MOUNT SPEAKER 6W BLK,,,,,RG Jones,,,,,,23.1,,23.1,,,
BS-678BSB,WALL MOUNT SPEAKER,,,,,RG Jones,,,,,,21.53,,21.53,,,
BS-678BSB      F00,WALL MOUNT SPEAKER,,,,,RG Jones,,,,,,28.88,,28.88,,,
BS-678BSW,WALL MOUNT SPEAKER,,,,,RG Jones,,,,,,21.53,,21.53,,,
BS-678BSW      F00,WALL MOUNT SPEAKER,,,,,RG Jones,,,,,,28.88,,28.88,,,
BS-678BT,WALL MOUNT SPEAKER 6W BLK ATT,,,,,RG Jones,,,,,,19.43,,19.43,,,
BS-678BT       F00,WALL MOUNT SPEAKER 6W BLK ATT,,,,,RG Jones,,,,,,26.25,,26.25,,,
BS-678T,WALL MOUNT SPEAKER 6W ATT,,,,,RG Jones,,,,,,19.43,,19.43,,,
BS-678T        F00,WALL MOUNT SPEAKER 6W ATT,,,,,RG Jones,,,,,,26.25,,26.25,,,
BS-680F,WALL MOUNT SPEAKER 6W,,,,,RG Jones,,,,,,39.38,,39.38,,,
BS-680FC,WALL MOUNT SPEAKER 6W BS5839.,,,,,RG Jones,,,,,,44.63,,44.63,,,
BS-680FC  Q,Wall Mount Steel Cabinet Fire Proof MOD,,,,,RG Jones,,,,,,44.63,,44.63,,,
BS-680FCC      QO,WALL MOUNT 6W with Capacitor,,,,,RG Jones,,,,,,47.25,,47.25,,,
BS-680U,WALL MOUNT SPEAKER 6W (UL),,,,,RG Jones,,,,,,1.0,,1.0,,,
C-001T,9000 SERIES PLUG-IN MODULE,,,,,RG Jones,,,,,,51.98,,51.98,,,
C-001T         B00,9000 SERIES PLUG-IN MODULE,,,,,RG Jones,,,,,,46.73,,46.73,,,
C-BC501T,CAMERA BRACKET,,,,,RG Jones,,,,,,78.52,,78.52,,,
C-VD6     UK,VIDEO SIGNAL DISTRIBUTOR,,,,,RG Jones,,,,,,96.47,,96.47,,,
CA-115,MOBILE AMPLIFIER,,,,,RG Jones,,,,,,49.88,,49.88,,,
CA-130,MOBILE AMPLIFIER,,,,,RG Jones,,,,,,55.13,,55.13,,,
CA-130         F00,MOBILE AMPLIFIER,,,,,RG Jones,,,,,,51.98,,51.98,,,
CA-160,MOBILE AMPLIFIER,,,,,RG Jones,,,,,,81.38,,81.38,,,
CA-160         F00,MOBILE AMPLIFIER,,,,,RG Jones,,,,,,63.0,,63.0,,,
CATCON         QO,Adaptor box  Fire-Rated cable to CAT-5,,,,,RG Jones,,,,,,15.0,,15.0,,,
CCU-16         QO,16Line Master EVC Con Unit c/w Display,,,,,RG Jones,,,,,,650.0,,650.0,,,
CON-FGG304     QO,Lemo 4 Pin Connector Plug,,,,,RG Jones,,,,,,11.97,,11.97,,,
CP-9500M2-EB,Digital Mixer Amplifier,,,,,RG Jones,,,,,,820.05,,820.05,,,
CP-9550M2 EB,DIGITAL MIXER AMPLIFIER,,,,,RG Jones,,,,,,820.05,,820.05,,,
CRSC-6         QO,Ceiling Mounting Cover,,,,,RG Jones,,,,,,35.0,,35.0,,,
CS-154,WIDE RANGE CONE SPEAKER,,,,,RG Jones,,,,,,55.13,,55.13,,,
CS-154    EU,WIDE RANGE CONE SPEAKER,,,,,RG Jones,,,,,,55.13,,55.13,,,
CS-154-BS Q,15W WideRangeSpeaker BS/EN withCapacitor,,,,,RG Jones,,,,,,53.55,,53.55,,,
CS-154BS,WIDE RANGE SPEAKER,,,,,RG Jones,,,,,,70.88,,70.88,,,
CS-304,WIDE RANGE CONE SPEAKER,,,,,RG Jones,,,,,,60.38,,60.38,,,
CS-304    EU,WIDE RANGE CONE SPEAKER,,,,,RG Jones,,,,,,60.38,,60.38,,,
CS-304-BS Q,30 Watt (100V) Wide Range Speaker IP-64,,,,,RG Jones,,,,,,69.89,,69.89,,,
CS-530BS-EB,Music Horn Speaker,,,,,RG Jones,,,,,,100.8,,100.8,,,
CS-64,WIDE RANGE CONE SPEAKER,,,,,RG Jones,,,,,,36.75,,36.75,,,
CS-64     EU,WIDE RANGE CONE SPEAKER,,,,,RG Jones,,,,,,36.75,,36.75,,,
CS-64BS,WIDE RANGE SPEAKER,,,,,RG Jones,,,,,,52.5,,52.5,,,
CS-660BS-EB,Music Horn Speaker,,,,,RG Jones,,,,,,128.1,,128.1,,,
