SKU,Short Description,Long Description,Model,Category Group,Category,Manufacturer,Manufacturer SKU,Image URL,Document Name,Document URL,Unit Of Measure,Buy Cost,Trade Price,MSRP GBP,MSRP USD,MSRP EUR,Discontinued
131.0,Warnex 0131 - Texture Paint black 1 kg Warnex,,,,,Adam Hall,4049521000119.0,,,,,,,53.38,,,False
0131WHI,"Warnex 0131WHI - Texture Paint pure white semi-matt 1 kg, RAL 9010",,,,,Adam Hall,4049521159121.0,,,,,,,58.68,,,False
132.0,"Adam Hall Hardware 0132 - Wood Dye, Black 5 L",,,,,Adam Hall,4049521000126.0,,,,,,,82.49,,,False
133.0,"Adam Hall Hardware 0133 - Warnex water-based Wood Glaze in Black, 5 Liters",,,,,Adam Hall,4049521654121.0,,,,,,,98.9,,,False
1357.0,Adam Hall Hardware 01357 - Black Wax Stick for Flightcase Repair Kit,,,,,Adam Hall,4049521132704.0,,,,,,,7.53,,,False
0135KIT,Adam Hall Hardware 0135KIT - Repair Kit for Flightcase Surfaces black/grey/blue,,,,,Adam Hall,4049521132698.0,,,,,,,119.9,,,False
150.0,Adam Hall Accessories 0150 - Stage Molton | B1 300 g/m² | 300 cm,,,,,Adam Hall,4049521000225.0,,,,,,,23.99,,,False
1360.0,"Adam Hall Hardware 01360 - Spray Adhesive ""Classic"" 500 ml Can",,,,,Adam Hall,4049521000171.0,,,,,,,14.66,,,False
1362.0,Adam Hall Hardware 01362 - Spray Adhesive 4 kg Container Wakol,,,,,Adam Hall,4004295173773.0,,,,,,,75.9,,,False
013631L,Adam Hall Hardware 013631L - Solvent for 01362 Spray Adhesive 1 L Container Wakol,,,,,Adam Hall,4004295181556.0,,,,,,,21.2,,,False
1366.0,"Adam Hall Hardware 01366 - Spray Adhesive Can, Extra Strong, 500 ml",,,,,Adam Hall,4049521605963.0,,,,,,,21.44,,,False
1370.0,"Adam Hall Hardware 01370 - Industrial Spray Cleaner Citrus, 500 ml Can",,,,,Adam Hall,4049521605970.0,,,,,,,20.08,,,False
0150EURO,Adam Hall Accessories 0150EURO - Eco Stage Molton | B1 320 g/m² | 300 cm,,,,,Adam Hall,4049521610660.0,,,,,,,20.14,,,False
0150WH,"Adam Hall Accessories 0150WH - Stage Molton B1 White 300 cm Wide, White",,,,,Adam Hall,4049521211454.0,,,,,,,13.48,,,False
0151B,Adam Hall Accessories 0151B - Deco Molton | B1 160 g/m² | 300 cm,,,,,Adam Hall,4049521173608.0,,,,,,,16.08,,,False
0151WH,Adam Hall Accessories 0151WH - Deco Molton | B1 160 g/m² | 300 cm,,,,,Adam Hall,4049521211409.0,,,,,,,15.1,,,False
0151X33,Adam Hall Accessories 0151X33 - Deco Molton | B1 160 g/m² | 3 x 3 m,,,,,Adam Hall,4049521211089.0,,,,,,,86.44,,,False
0151X33WH,Adam Hall Accessories 0151X33WH - Deco Molton B1 with Burnished Grommets Hemmed 3 x 3 m White,,,,,Adam Hall,4049521211096.0,,,,,,,47.12,,,False
0151X34,Adam Hall Accessories 0151X34 - Deco Molton | B1 160 g/m² | 3 x 4 m,,,,,Adam Hall,4049521211201.0,,,,,,,109.3,,,False
0151X34WH,"Adam Hall Accessories 0151X34WH - Deco Molton B1 with Burnished Grommets Hemmed 3 x 4 m, White",,,,,Adam Hall,4049521211218.0,,,,,,,57.61,,,False
